Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 128, 0.172184, 0.143984, N/A, 0.00293257, 0.00404928, 0.0513801, 0.00432203, 2, 2, 1, 2, 1, 1, 44.2767, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 128, 0.172184, 0.143984, N/A, 0.00293257, 0.00404928, 0.0513801, 0.00432203, 2, 2, 1, 2, 1, 1, 44.2767, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.172254, 0.128311, N/A, 0.000636716, 0.00122655, 0.0232677, 0.00150404, 2, 2, 1, 2, 1, 1, 63.617, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.191395, 0.158406, N/A, 0.00138119, 0.00104503, 0.0940411, 0.00570665, 2, 2, 4, 32, 1, 1, 67.0674, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.215169, 0.164481, N/A, 0.000961535, 0.00204371, 0.0362038, 0.00853184, 2, 2, 1, 2, 1, 1, 56.842, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 32, 0.215169, 0.164481, N/A, 0.000961535, 0.00204371, 0.0362038, 0.00853184, 2, 2, 1, 2, 1, 1, 56.842, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.233665, 0.191053, N/A, 0.00160388, 0.00245881, 0.0645641, 0.0148616, 2, 2, 2, 4, 1, 1, 65.2641, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.233665, 0.191053, N/A, 0.00160388, 0.00245881, 0.0645641, 0.0148616, 2, 2, 2, 4, 1, 1, 65.2641, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 8, 0.218811, 0.186495, N/A, 0.00067539, 0.000775499, 0.0314583, 0.00815575, 1, 2, 1, 8, 1, 1, 59.4631, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 8, 0.218811, 0.186495, N/A, 0.00067539, 0.000775499, 0.0314583, 0.00815575, 1, 2, 1, 8, 1, 1, 59.4631, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 8, 0.240015, 0.201107, N/A, 0.00208268, 0.00150105, 0.141436, 0.0293032, 2, 2, 4, 32, 1, 1, 66.1998, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.240015, 0.201107, N/A, 0.00393383, 0.00564369, 0.155931, 0.032293, 2, 2, 2, 4, 1, 1, 60.0707, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.240015, 0.201107, N/A, 0.00393383, 0.00564369, 0.155931, 0.032293, 2, 2, 2, 4, 1, 1, 60.0707, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 2048, 1, 1, 64, 0.191395, 0.158406, N/A, 0.00225331, 0.00317504, 0.0935209, 0.00602601, 2, 2, 2, 4, 1, 1, 63.5131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 8, 0.440755, 0.326988, N/A, 0.0072685, 0.00358669, 1.31501, 0.0871019, 2, 4, 16, 128, 1, 1, 70.3048, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 8, 0.240017, 0.1873, N/A, 0.00186346, 0.00121753, 0.183659, 0.0104477, 2, 2, 4, 32, 1, 1, 73.2662, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 8, 0.440755, 0.326988, N/A, 0.0072685, 0.00358669, 1.31501, 0.0871019, 2, 4, 16, 128, 1, 1, 70.3048, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 8, 0.240017, 0.1873, N/A, 0.00186346, 0.00121753, 0.183659, 0.0104477, 2, 2, 4, 32, 1, 1, 73.2662, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 8, 0.183982, 0.1568, N/A, 0.000771812, 0.000693579, 0.0471025, 0.00283096, 1, 2, 2, 16, 1, 1, 67.5973, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 8, 0.240017, 0.1873, N/A, 0.00186346, 0.00121753, 0.183659, 0.0104477, 2, 2, 4, 32, 1, 1, 73.2662, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 8, 0.198604, 0.170707, N/A, 0.000917692, 0.000822009, 0.0551786, 0.00591755, 1, 2, 2, 16, 1, 1, 65.1202, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 8, 0.198604, 0.170707, N/A, 0.000917692, 0.000822009, 0.0551786, 0.00591755, 1, 2, 2, 16, 1, 1, 65.1202, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
